Inbound delivery created this many days after shipment,PO issued on date,Delivery entered by supplier on,PO-line-Conf type,PO-line-Conf type,Vendor,vendor name,Plant,PO Document Date,PO Document,PO Item,Confirmation Number,Confirmation Category,Created by,Purchasing Group,Responsible buyer,Delivery Created by,Created on,Lead Time Code,Confirmed Delivery Date
7,1/3/2020,04/06/2020,45101804655LALR9,45101804655LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,5,3,LA,GELECCLCL_BI,531,Zhiqiang Zhou,FDT503013845,04/06/2020,F2807,04/27/2020
PO conf,1/3/2020,PO conf,45101804655ABLR9,45101804655AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,5,4,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,04/24/2020
-1,1/3/2020,04/12/2020,45101804656LAXXX,45101804656LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,6,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,04/12/2020,F2807,05/11/2020
PO conf,1/3/2020,PO conf,45101804656ABXXX,45101804656AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,6,2,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,05/08/2020
0,1/3/2020,03/23/2020,45101804658LALR9,45101804658LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,8,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,03/23/2020,F2807,04/20/2020
PO conf,1/3/2020,PO conf,45101804658ABLR9,45101804658AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,8,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,04/17/2020
0,1/3/2020,03/23/2020,45101804659LALR9,45101804659LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,9,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,03/23/2020,F2807,04/20/2020
PO conf,1/3/2020,PO conf,45101804659ABLR9,45101804659AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,9,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,04/17/2020
0,1/3/2020,04/13/2020,451018046510LALR9,451018046510LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,10,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,FDT503013845,04/13/2020,F2807,05/11/2020
PO conf,1/3/2020,PO conf,451018046510ABLR9,451018046510AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,10,2,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,05/08/2020
4,1/3/2020,03/27/2020,451018046511LALR9,451018046511LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,11,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,FDT503013845,03/27/2020,F2807,04/20/2020
0,1/3/2020,03/23/2020,451018046511LALR9,451018046511LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,11,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,03/23/2020,F2807,04/20/2020
PO conf,1/3/2020,PO conf,451018046511ABLR9,451018046511AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,11,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,04/17/2020
3,1/3/2020,03/16/2020,451018046512LALR9,451018046512LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,12,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,03/16/2020,F2807,04/10/2020
PO conf,1/3/2020,PO conf,451018046512ABLR9,451018046512AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,12,2,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,04/10/2020
3,1/3/2020,03/16/2020,451018046512LALR9,451018046512LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,12,3,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,03/16/2020,F2807,04/10/2020
0,1/3/2020,03/23/2020,451018046513LALR9,451018046513LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,13,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,03/23/2020,F2807,04/20/2020
